#Person,Gender,Race,Age
aamir+khan,0,3,1
abhishek+bachchan,0,3,1
abraham+lincoln,0,0,2
adam+sandler,0,0,1
adam+scott,0,0,1
adele,1,0,1
adolf+hitler,0,0,1
agnieszka+radwanska,1,0,0
aishwarya+rai,1,3,1
aki+takajo,1,4,0
akshay+kumar,0,3,1
alan+rickman,0,0,1
albert+einstein,0,0,1
alia+bhatt,1,3,0
alicia+keys,1,1,1
allen+iverson,0,1,0
alyssa+milano,1,0,1
amber+heard,1,0,0
amitabh+bachchan,0,3,2
amy+adams,1,0,1
amy+irving,1,0,1
ana+ivanovic,1,0,0
andie+macdowell,1,0,1
andre+agassi,0,0,1
andy+murray,0,0,1
andy+roddick,0,0,0
angela+merkel,1,0,2
angelina+jolie,1,0,1
anil+kapoor,0,3,1
anjelica+huston,1,0,2
anna+faris,1,0,1
anna+kournikova,1,0,0
anne+hathaway,1,0,1
anushka+sharma,1,3,0
ariana+grande,1,0,0
arjun+kapoor,0,3,1
arnold+palmer,0,0,2
arnold+schwarzenegger,0,0,2
ashley+greene,1,0,1
atal+bihari+vajpayee,0,3,2
atsuko+maeda,1,4,0
avril+lavigne,1,0,1
aya+hirano,1,4,0
ayumi+hamasaki,1,4,0
babe+ruth,0,0,2
bae+suzy,1,4,0
bar+refaeli,1,0,1
barack+obama,0,1,1
bella+swan,1,0,0
ben+kingsley,0,0,2
ben+stiller,0,0,1
benazir+bhutto,1,3,2
bernice+king,1,1,1
bessie+smith,1,1,1
beyonce+knowles,1,1,1
bill+clinton,0,0,2
bill+gates,0,0,2
bill+gates+daughter,1,0,0
bill+gates+wife,1,0,1
billie+holiday,1,1,1
bing+crosby,0,0,1
bipasha+basu,1,3,1
blake+griffin,0,0,1
blake+lively,1,0,1
bo+xilai,0,4,1
bobby+brown,0,0,1
brad+pitt,0,0,1
brian+austin+green,0,0,1
brian+lara,0,1,1
bridgit+mendler,1,0,0
britney+spears,1,0,0
brittney+griner,1,1,0
brody+jenner,0,0,1
bruce+jenner,0,0,2
bruce+lee,0,4,1
bruce+willis,0,0,2
bubba+watson,0,0,1
cameron+diaz,1,0,0
carmen+electra,1,1,0
carlos+slim,0,2,2
carly+rae+jepsen,1,0,0
carmelo+anthony,0,1,0
carmen+electra,1,2,1
caroline+wozniacki,1,0,0
cha+tae-hyun,0,4,0
chamique+holdsclaw,1,1,0
channing+tatum,0,0,0
charles+barkley,0,1,1
charles+lindbergh,0,0,0
charlie+parker,0,1,1
cher+lloyd,1,0,0
cheyenne+woods,1,1,1
chiang+kai-shek,0,4,2
choi+ji-woo,1,4,0
chris+brown,0,1,0
chris+evert,1,0,1
chris+gayle,0,1,1
chris+hemsworth,0,0,1
chris+paul,0,1,0
chris+rock,0,1,1
chris+tucker,0,1,1
christina+aguilera,1,0,1
christine+taylor,1,0,0
chuck+norris,1,0,1
clint+eastwood,0,0,2
colin+powell,0,0,2
condoleezza+rice,1,1,1
coretta+scott+king,1,1,2
count+basie,0,1,1
craig+mundie,0,0,2
crispin+freeman,0,0,0
cristiano+ronaldo,0,2,0
daisuke+ono,0,4,1
dakota+fanning,1,0,0
daniel+day-lewis,0,0,2
daniel+radcliffe,0,0,0
david+beckham,0,0,1
david+villa,0,2,0
dawn+staley,1,1,1
debby+ryan,1,0,0
deepika+padukone,1,3,1
demi+lovato,1,0,0
demi+moore,1,2,1
deng+xiaoping,0,4,2
dennis+rodman,0,1,1
denzel+washington,0,1,1
derrick+rose,0,1,0
desmond+tutu,0,1,2
dhirubhai+ambani,0,3,2
diana+taurasi,1,1,0
diane+keaton,1,0,2
diane+kruger,1,0,0
dick+cheney,0,0,2
didier+drogba,0,1,0
diego+maradona,0,0,1
dizzy+gillespie,0,1,1
dmitry+medvedev,0,0,1
donald+rumsfeld,0,0,2
dr.+dre,0,1,1
drew+barrymore,1,0,1
duke+ellington,0,1,1
dwayne+johnson,0,0,1
dwight+howard,0,1,0
dwyane+wade,0,1,1
eddie+murphy,0,1,1
edward+cullen,0,0,0
ekta+kapoor,1,3,1
elin+nordegren,1,0,1
elizabeth+hurley,1,0,1
ella+fitzgerald,1,1,2
elvis+presley,0,0,1
eminem,0,0,1
emma+roberts,1,0,0
emma+thompson,1,0,1
emma+watson,1,0,0
eric+roberts,0,0,1
eva+mendes,1,2,1
evander+holyfield,0,1,1
federica+pellegrini,1,0,0
fernando+torres,0,2,0
fidel+castro,0,2,2
frank+sinatra,0,0,1
franklin+d.+roosevelt,0,0,2
g-dragon,0,4,0
gabrielle+union,1,1,1
gareth+bale,0,0,0
george+foreman,0,1,2
george+w.+bush,0,0,2
george+washington,0,0,2
george+washington+carver,0,1,2
gerald+ford,0,1,2
golda+meir,0,0,2
grant+hackett,0,0,1
gwyneth+paltrow,1,0,1
ha+ji-won,1,4,1
hakeem+olajuwon,0,1,1
halle+berry,1,1,1
ham+eun+jung,1,4,1
han+ga-in,1,4,1
haruka+shimazaki,1,4,0
haruna+kojima,1,4,0
helena+bonham+carter,1,0,1
hillary+rodham+clinton,1,0,2
ho+chi+minh,0,4,2
holly+marie+combs,1,0,1
holly+sampson,1,0,1
hrithik+roshan,0,3,1
hu+jintao,0,4,2
hugh+grant,0,0,1
hugh+jackman,0,0,1
hyun+bin,0,4,0
hyuna,1,4,0
im+dong-hyun,0,4,0
indira+gandhi,1,3,2
iu,1,4,0
j+allard,0,0,1
j.k.+rowling,1,0,1
jack+nicholson,0,0,2
jack+nicklaus,0,0,2
jackie+chan,0,4,1
